,Brute Force,,,Approx,,,,Local Search,,,
Dataset,Time(s),Sol.Quality,Full Tour,Time(s),Sol.Quality,RelError,Full Tour,Time(s),Sol.Quality,RelError,Full Tour
Atlanta,60.01,3775843,Yes,0,2380448,0.17624,Yes,0.54,2101835.7,0.03857,Yes
Berlin,60.01,19728,Yes,0,10402,0.1197,Yes,3.61,10867.9,0.16985,Yes
Boston,60.01,2246134,Yes,0,1150963,0.11966,Yes,2.13,1121782.2,0.09127,Yes
Champaign,60.02,218823,Yes,0,65712,-0.07578,Yes,3.96,76206.7,0.07182,Yes
Cincinnati,3.43,277952,Yes,0,301216,0.0837,Yes,0.08,278969.6,0.00366,Yes
Denver,60.03,563620,Yes,0,134748,-0.07813,Yes,9.16,166693.8,0.14043,Yes
NYC,60.02,7244933,Yes,0.01,2027107,0.06787,Yes,5.7,2433323.4,0.28187,Yes
Philadelphia,60.03,3710782,Yes,0,1646249,0.12116,Yes,1.18,1599216.5,0.08913,Yes
Roanoke,60.2,6861290,Yes,0.02,838282,-0.56237,Yes,57,2099484.9,0.09605,Yes
SanFrancisco,60.06,5604793,Yes,0,1134989,-0.27055,Yes,9.22,1835562.9,0.1797,Yes
Toronto,60.03,9219353,Yes,0,1675105,-0.29855,Yes,7.71,2691813,0.12719,Yes
UKansasState,1.54,62962,Yes,0,68090,0.08145,Yes,0.04,63359.5,0.00631,Yes
UMissouri,60.01,668324,Yes,0.01,178249,-0.23693,Yes,8.45,261723.9,0.12041,Yes
